City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp(Celsius)
0,beringovskiy,63.05,179.3167,275.93,78,100,9.05,RU,1667719200,2.829999999999984
1,provideniya,64.3833,-173.3,275.17,99,100,9.6,RU,1667719200,2.069999999999993
2,vaini,-21.2,-175.2,296.24,88,40,3.6,TO,1667719200,23.139999999999986
3,east london,-33.0153,27.9116,295.5,60,0,2.14,ZA,1667719046,22.399999999999977
4,koutsouras,35.0339,25.9469,295.43,70,0,8.49,GR,1667719201,22.329999999999984
5,molteno,-31.3968,26.3625,290.35,58,2,2.38,ZA,1667719201,17.25
6,sorong,-0.8833,131.25,302.55,70,97,1.86,ID,1667719202,29.44999999999999
7,rikitea,-23.1203,-134.9692,295.03,77,100,7.73,PF,1667719202,21.92999999999995
8,teya,60.3778,92.6267,270.72,86,99,3.06,RU,1667719203,-2.3799999999999955
9,tuktoyaktuk,69.4541,-133.0374,259.48,90,100,6.86,CA,1667719203,-13.620000000000005
10,ilulissat,69.2167,-51.1,268.16,68,100,4.63,GL,1667719203,-4.939999999999998
11,victoria,22.2855,114.1577,295.55,85,96,5.81,HK,1667719197,22.44999999999999
12,buctzotz,21.2,-88.7833,294.75,93,5,1.8,MX,1667719204,21.649999999999977
13,atuona,-9.8,-139.0333,298.34,70,45,7.08,PF,1667719204,25.239999999999952
14,puerto ayora,-0.7393,-90.3518,291.43,80,9,3.66,EC,1667719204,18.329999999999984
15,mataura,-46.1927,168.8643,284.06,68,0,1.98,NZ,1667719205,10.95999999999998
16,punta arenas,-53.15,-70.9167,282.21,81,0,5.14,CL,1667719205,9.109999999999957
17,barrow,71.2906,-156.7887,249.16,84,100,5.14,US,1667719205,-23.940000000000026
18,butaritari,3.0707,172.7902,299.66,73,79,3.96,KI,1667719207,26.560000000000002
19,piranhas,-16.4269,-51.8222,292.81,53,6,2.32,BR,1667719207,19.70999999999998
20,kisanga,-7.4362,37.7034,304.51,40,1,2.08,TZ,1667719207,31.409999999999968
21,bredasdorp,-34.5322,20.0403,294.45,62,3,6.68,ZA,1667719208,21.349999999999966
22,puerto leguizamo,-0.1934,-74.7819,295.36,83,81,0.55,CO,1667719208,22.25999999999999
23,torbay,47.6666,-52.7314,284.58,93,75,4.12,CA,1667719208,11.479999999999961
24,ugoofaaru,5.6667,73.0,300.56,71,78,2.77,MV,1667719208,27.45999999999998
25,alghero,40.5589,8.3181,283.2,100,20,0.51,IT,1667719209,10.099999999999966
26,yaan,7.3833,8.5667,296.84,44,100,1.48,NG,1667719209,23.739999999999952
27,syracuse,37.0881,15.2792,287.92,58,11,3.95,IT,1667719210,14.819999999999993
28,vanavara,60.34,102.2797,269.78,87,100,2.53,RU,1667719210,-3.32000000000005
29,guerrero negro,27.9769,-114.0611,290.84,72,0,4.88,MX,1667719210,17.739999999999952
30,naliya,23.2667,68.8333,305.16,29,100,2.67,IN,1667719054,32.06
31,chuy,-33.6971,-53.4616,286.9,92,0,3.21,UY,1667719211,13.799999999999955
32,yulara,-25.2406,130.9889,307.53,10,55,3.1,AU,1667718452,34.42999999999995
33,concepcion,-36.827,-73.0498,282.04,93,0,1.03,CL,1667719212,8.939999999999998
34,katsuura,35.1333,140.3,289.69,63,53,4.93,JP,1667719029,16.589999999999975
35,baruun-urt,46.6806,113.2792,276.51,38,2,3.95,MN,1667719212,3.409999999999968
36,yellowknife,62.456,-114.3525,253.46,77,0,5.14,CA,1667719213,-19.640000000000015
37,palmer,42.1584,-72.3287,292.49,77,100,4.12,US,1667718966,19.389999999999986
38,arraial do cabo,-22.9661,-42.0278,292.78,74,23,3.12,BR,1667719213,19.67999999999995
39,mahebourg,-20.4081,57.7,300.31,61,40,6.17,MU,1667719214,27.20999999999998
40,chokurdakh,70.6333,147.9167,257.99,96,100,3.57,RU,1667719214,-15.110000000000014
41,quang ngai,15.1167,108.8,299.14,80,68,4.83,VN,1667719023,26.039999999999964
42,vestmannaeyjar,63.4427,-20.2734,279.79,84,100,12.81,IS,1667719214,6.689999999999998
43,avarua,-21.2078,-159.775,296.18,73,0,3.6,CK,1667719097,23.079999999999984
44,margate,51.3813,1.3862,287.54,94,100,3.13,GB,1667719215,14.439999999999998
45,jalu,29.0331,21.5482,294.16,38,0,5.42,LY,1667719216,21.060000000000002
46,medicine hat,50.0501,-110.6683,266.33,91,100,9.26,CA,1667719216,-6.770000000000039
47,kaitangata,-46.2817,169.8464,283.61,74,60,2.36,NZ,1667719216,10.509999999999991
48,flinders,-34.5833,150.8552,293.29,75,72,4.04,AU,1667719216,20.189999999999998
49,chapais,49.7834,-74.8492,287.03,85,100,8.43,CA,1667719217,13.92999999999995
50,vinh,18.6667,105.6667,298.14,70,34,4.13,VN,1667719217,25.039999999999964
51,lata,40.1629,-8.3327,283.19,62,80,1.44,PT,1667719217,10.089999999999975
52,busselton,-33.65,115.3333,295.68,48,90,2.93,AU,1667719218,22.579999999999984
53,emba,48.8264,58.1442,273.25,72,95,3.07,KZ,1667718977,0.14999999999997726
54,qaanaaq,77.484,-69.3632,257.6,78,100,2.57,GL,1667719219,-15.5
55,mezen,65.8522,44.24,273.47,87,100,4.08,RU,1667719219,0.37000000000000455
56,cooma,-36.2333,149.1333,289.52,63,88,0.7,AU,1667719219,16.41999999999996
57,flin flon,54.7682,-101.865,269.74,95,100,6.7,CA,1667719220,-3.3600000000000136
58,clyde river,70.4692,-68.5914,250.96,87,55,2.6,CA,1667719220,-22.140000000000015
59,maceio,-9.6658,-35.7353,295.84,100,75,2.06,BR,1667719220,22.739999999999952
60,saint-joseph,-21.3667,55.6167,299.36,76,37,0.96,RE,1667719221,26.25999999999999
61,konskie,51.1917,20.4061,281.06,90,52,1.33,PL,1667719222,7.9599999999999795
62,mar del plata,-38.0023,-57.5575,288.76,90,0,10.28,AR,1667719222,15.659999999999968
